scan_idx,phant_id,birads,beamformer,use_bent_ray,use_cf,delay_model,breast_radius_mm,grid_radius_mm,tvsvd_removed,peak_x_mm,peak_y_mm,gt_x_mm,gt_y_mm,gt_r_mm,blob_area_px,blob_compactness,cf_at_peak,runtime_sec,localization_error_mm,iou,dice,scr_db,smr_db,cnr
22,A11F4,4.0,dmas,False,False,geometry_informed,33.1,49.650000000000006,1,0.6472875143195609,0.27883661322171793,0.0,12.5,15.0,584,1.3046685224508012,,4.008132300001307,12.238293004031405,0.3024193548387097,0.46439628482972134,1.4265703622720753,1.3309494803423505,1.3072129547084683
55,A12F11,2.0,dmas,False,False,geometry_informed,39.0,58.5,1,-3.3779609849359264,54.43630699045323,-22.5,-7.5,10.0,1057,0.13645066711227857,,7.241428299999825,64.8209726840727,0.0,0.0,3.0581084004825208,2.7335621806030463,2.1610023946769665
234,A15F13,2.0,dmas,False,False,geometry_informed,56.2,84.30000000000001,1,81.56028278493838,81.62334782073192,7.5,-22.5,10.0,65,1.1204582852309275,,7.3677001999967615,127.77557296910142,0.0,0.0,7.2358325586598,7.194114234947664,7.484127477872703
194,A15F1,1.0,dmas,False,False,geometry_informed,56.2,84.30000000000001,1,-81.41269997622149,-81.40527688935302,-7.5,22.5,15.0,60,1.03426918636701,,4.1724925999988045,127.51232796568358,0.0,0.0,7.310861074205176,7.271513664852989,7.5242307336247265
288,A15F14,3.0,dmas,False,False,geometry_informed,56.2,84.30000000000001,1,2.4662958352096016,-81.69053324968633,-7.5,37.5,5.0,1134,0.11566679066471296,,4.722677300000214,119.60648088218088,0.0,0.0,7.053326743599095,6.409306489535682,3.5918525429197894
