scan_idx,phant_id,birads,beamformer,use_bent_ray,use_cf,breast_radius_mm,grid_radius_mm,tvsvd_removed,peak_x_mm,peak_y_mm,gt_x_mm,gt_y_mm,gt_r_mm,blob_area_px,blob_compactness,cf_at_peak,runtime_sec,localization_error_mm,iou,dice,scr_db,smr_db,cnr
0,A1F11,,dmas,True,False,22.9,34.349999999999994,1,25.73121419469754,26.379078020582604,0.0,-7.5,15.0,139,0.2417613170098166,,0.4661157999998977,42.54277037826906,0.0,0.0,1.9727171347185843,1.9024538018984285,1.8396079451491418
1,A1F11,,dmas,True,False,22.9,34.349999999999994,1,-26.37827686019908,1.167577074524272,-7.5,7.5,15.0,272,0.1103451965103853,,0.4473840000000564,19.91202946254898,0.0,0.0,1.96822003206503,1.8321549256058856,1.8575480115480159
2,A1F11,,dmas,True,False,22.9,34.349999999999994,1,6.32893842089725,32.77420674021444,-20.0,-15.0,10.0,134,0.2033442413143496,,0.45486890000029234,54.548948917721134,0.0,0.0,1.6707133781404038,1.6153465370734073,1.5362006772724301
3,A1F11,,dmas,True,False,22.9,34.349999999999994,1,-14.129243117141137,26.833506752679686,0.0,-25.0,10.0,231,0.14601034213153105,,0.43898449999960576,53.724742282707794,0.0,0.0,1.8974863206697568,1.7867301008136787,1.7647647419846664
4,A1F11,,dmas,True,False,22.9,34.349999999999994,1,-27.627473839763415,13.998788797974123,10.0,-17.5,15.0,214,0.15433903302759774,,0.5341035000001284,49.071381510015186,0.0,0.0,1.885372008875619,1.7834698731376912,1.742307690213184
