variant,n_scans,mean_le_mm,median_le_mm,mean_iou,mean_dice,mean_scr_db,detection_rate_20mm
Raw DAS,5,57.053621568109804,43.97544851228959,0.009685534591194969,0.01847630473905219,3.5624679452794275,0.0
Raw DMAS,5,28.86703917941469,26.559876759832882,0.05827405523249788,0.10225330578431582,0.6330277492718486,0.2
DAS+CF,5,34.39240059674246,28.844652648994106,0.017337864735729187,0.03285470490429625,12.835304892487784,0.2
DMAS+CF,5,41.47635173323332,44.32013648616957,0.0,0.0,11.137813100963314,0.2
DAS+GIBR,5,73.60171536824217,90.72902968641563,0.01694915254237288,0.03125,7.075994392415522,0.2
DMAS+GIBR,5,90.390729501014,119.60648088218088,0.06048387096774194,0.09287925696594426,5.216939827843733,0.2
DAS+GIBR+CF,5,60.50617483122992,72.2447878604776,0.0,0.0,13.719535871431209,0.0
DMAS+GIBR+CF,5,57.05099238881197,63.42331924978989,0.0,0.0,10.468176191745675,0.0
