scan_idx,phant_id,birads,beamformer,use_bent_ray,use_cf,breast_radius_mm,grid_radius_mm,tvsvd_removed,peak_x_mm,peak_y_mm,gt_x_mm,gt_y_mm,gt_r_mm,blob_area_px,blob_compactness,cf_at_peak,runtime_sec,localization_error_mm,iou,dice,scr_db,smr_db,cnr
0,A1F11,,das,True,False,22.9,34.349999999999994,1,24.372834147966056,31.260649776532162,0.0,-7.5,15.0,83,0.6857388303693698,,1145.7280956999994,45.78671221548063,0.0,0.0,3.769784461110267,3.6692760313358184,2.4719423562834666
1,A1F11,,das,True,False,22.9,34.349999999999994,1,-30.453802777227708,19.54010571661619,-7.5,7.5,15.0,89,0.634017565010185,,0.4804565000004004,25.919899837830396,0.0,0.0,4.48084540578969,4.340672641520103,2.8914750731269505
2,A1F11,,das,True,False,22.9,34.349999999999994,1,24.58459382561309,27.91867953255982,-20.0,-15.0,10.0,126,0.39893240045584677,,0.4588070999998308,61.885370318141156,0.0,0.0,4.430269817875749,4.236597081873929,2.8383164551176265
3,A1F11,,das,True,False,22.9,34.349999999999994,1,-26.09583872070058,24.018089283587106,0.0,-25.0,10.0,83,0.6857388303693698,,0.43475519999992684,55.531665521128865,0.0,0.0,4.692184561366034,4.551344406718413,2.963023513993528
4,A1F11,,das,True,False,22.9,34.349999999999994,1,-28.72677631248304,20.47828816791886,10.0,-17.5,15.0,127,0.824343526871702,,0.42882409999947413,54.241253449036215,0.0,0.0,5.024369825580405,4.785658728401197,3.1208145877190208
