scan_idx,phant_id,birads,beamformer,use_bent_ray,use_cf,breast_radius_mm,grid_radius_mm,tvsvd_removed,peak_x_mm,peak_y_mm,gt_x_mm,gt_y_mm,gt_r_mm,blob_area_px,blob_compactness,cf_at_peak,runtime_sec,localization_error_mm,iou,dice,scr_db,smr_db,cnr
0,A1F11,,dmas,True,True,22.9,34.349999999999994,1,26.478186407016008,-20.015001866449087,0.0,-7.5,15.0,68,1.0899403083882957,0.2597201755177575,0.4465090000003329,29.286850754594823,0.0,0.0,4.742645257747303,4.624902412667328,2.337260385246162
1,A1F11,,dmas,True,True,22.9,34.349999999999994,1,-30.275581308388368,19.686320946209083,-7.5,7.5,15.0,96,0.8812064126942882,0.3219552759850366,0.4631669000000329,25.830863751315476,0.0,0.0,6.338502643726319,6.066119328325746,3.2514546226150993
2,A1F11,,dmas,True,True,22.9,34.349999999999994,1,23.673383064310045,28.848569762390365,-20.0,-15.0,10.0,113,0.46942144774300376,0.23855266404615885,0.47700110000005225,61.88749032307885,0.0,0.0,6.426139103189645,6.099095956510262,3.425406726453993
3,A1F11,,dmas,True,True,22.9,34.349999999999994,1,-25.120189897175415,24.505601574383107,0.0,-25.0,10.0,97,0.9950513874227263,0.4013092708852377,0.44420569999965664,55.51421914889659,0.0,0.0,6.928758501667379,6.603358734922508,3.6072665644957906
4,A1F11,,dmas,True,True,22.9,34.349999999999994,1,-28.526993677572577,20.31796117786608,10.0,-17.5,15.0,139,0.944686595671133,0.4861626992387072,0.4549151000001075,53.98636336596774,0.0,0.0,7.5485959648494125,7.006492448891003,3.8105164815823933
