scan_idx,phant_id,birads,beamformer,use_bent_ray,use_cf,breast_radius_mm,grid_radius_mm,tvsvd_removed,peak_x_mm,peak_y_mm,gt_x_mm,gt_y_mm,gt_r_mm,blob_area_px,blob_compactness,cf_at_peak,runtime_sec,localization_error_mm,iou,dice,scr_db,smr_db,cnr
0,A1F11,,das,True,True,22.9,34.349999999999994,1,26.379612239863274,-19.89295264152334,0.0,-7.5,15.0,71,1.3198407006205641,0.2597201755177575,1312.0180360999993,29.145655201085884,0.0,0.0,6.1443881156040945,5.952621877046588,2.768620928684683
1,A1F11,,das,True,True,22.9,34.349999999999994,1,-30.032447824249683,19.44369240276336,-7.5,7.5,15.0,106,0.9224621088102993,0.3219552759850366,0.44622460000027786,25.50221545600228,0.0,0.0,7.542796775859784,7.124050380426974,3.218617357106529
2,A1F11,,das,True,True,22.9,34.349999999999994,1,23.4726625802639,29.23301600982699,-20.0,-15.0,10.0,111,0.4783494986947422,0.2547822547948902,0.43836279999959515,62.01961058522609,0.0,0.0,7.704025715504347,7.247425555405226,3.6875369153650785
3,A1F11,,das,True,True,22.9,34.349999999999994,1,-24.994805426048778,24.300061002116045,0.0,-25.0,10.0,112,1.0280741481433362,0.4013092708852377,0.4316976000000068,55.27419210715251,0.0,0.0,8.313205731985645,7.774178612680885,3.6745331854472028
4,A1F11,,das,True,True,22.9,34.349999999999994,1,-28.22282271350312,20.09967501427275,10.0,-17.5,15.0,144,1.0258261726007487,0.5031137063510324,0.4265911000002234,53.616412947592984,0.0,0.0,9.185978379620366,8.342857808190749,4.06102657545729
